TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
29/04/2020;21;MARESME;08110;MALGRAT DE MAR;1;Dona;Positiu per Test Ràpid;6
03/07/2020;40;VALLES OCCIDENTAL;08125;MONTCADA I REIXAC;1;Dona;Positiu per ELISA;1
28/07/2020;11;BAIX LLOBREGAT;08217;SANT JOAN DESPÍ;1;Dona;Positiu per Test Ràpid;7
25/07/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;6
28/08/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu per ELISA;1
11/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;PCR probable;7
28/07/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;3
03/07/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;0;Home;Positiu per ELISA;2
24/08/2020;17;GARRAF;08270;SITGES;1;Dona;PCR probable;1
26/08/2020;11;BAIX LLOBREGAT;08001;ABRERA;0;Home;Positiu per ELISA;2
17/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;69
15/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;6
18/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;30
06/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;7
05/11/2020;09;BAIX EBRE;43052;XERTA;0;Home;Positiu per Test Ràpid;1
06/08/2020;07;BAGES;08113;MANRESA;1;Dona;Positiu per ELISA;1
06/08/2020;SES;;SES;;SES;;Positiu Epidemiològic;1
28/09/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;20
06/08/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;8
10/07/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;60
16/04/2020;07;BAGES;08113;MANRESA;1;Dona;Positiu per Test Ràpid;1
31/07/2020;11;BAIX LLOBREGAT;08072;CORBERA DE LLOBREGAT;1;Dona;PCR probable;2
29/03/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;1;Dona;Positiu per ELISA;4
15/07/2020;30;RIBERA D'EBRE;43177;VINEBRE;1;Dona;Positiu per Test Ràpid;1
15/07/2020;07;BAGES;08127;MONISTROL DE MONTSERRAT;1;Dona;Positiu per Test Ràpid;1
10/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu Epidemiològic;16
24/04/2020;10;BAIX EMPORDA;17117;PALAFRUGELL;0;Home;Positiu per Test Ràpid;2
14/08/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;PCR probable;5
11/08/2020;40;VALLES OCCIDENTAL;08125;MONTCADA I REIXAC;0;Home;Positiu per ELISA;1
12/08/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;1;Dona;Positiu per ELISA;2
22/10/2020;40;VALLES OCCIDENTAL;08187;SABADELL;0;Home;PCR probable;1
29/04/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;PCR probable;1
29/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;15
29/04/2020;02;ALT EMPORDA;17026;BORRASSÀ;1;Dona;Positiu per Test Ràpid;1
28/05/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;32
16/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;24
08/06/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;3
09/06/2020;33;SEGRIA;25120;LLEIDA;1;Dona;Positiu per Test Ràpid;6
29/07/2020;11;BAIX LLOBREGAT;08217;SANT JOAN DESPÍ;0;Home;Positiu per Test Ràpid;2
28/07/2020;11;BAIX LLOBREGAT;08056;CASTELLDEFELS;1;Dona;PCR probable;5
27/03/2020;21;MARESME;08118;EL MASNOU;1;Dona;Positiu Epidemiològic;1
08/05/2020;08;BAIX CAMP;43123;REUS;1;Dona;Positiu per Test Ràpid;1
05/10/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;0;Home;Positiu per Test Ràpid;1
04/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu per Test Ràpid;11
04/10/2020;07;BAGES;08218;SANT JOAN DE VILATORRADA;0;Home;Positiu per Test Ràpid;1
17/08/2020;11;BAIX LLOBREGAT;08211;SANT FELIU DE LLOBREGAT;0;Home;Positiu per Test Ràpid;3
10/07/2020;21;MARESME;08121;MATARÓ;0;Home;Positiu per Test Ràpid;1
10/07/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;Positiu per Test Ràpid;5
16/06/2020;11;BAIX LLOBREGAT;08289;TORRELLES DE LLOBREGAT;1;Dona;Positiu per Test Ràpid;1
24/07/2020;41;VALLES ORIENTAL;08202;SANT CELONI;0;Home;Positiu per Test Ràpid;1
20/07/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;PCR probable;2
18/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu Epidemiològic;30
22/04/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu per Test Ràpid;1
29/03/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu Epidemiològic;1
23/04/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;Positiu per ELISA;1
07/07/2020;26;PALLARS SOBIRA;25901;LA VALL DE CARDÓS;0;Home;Positiu per Test Ràpid;1
08/04/2020;03;ALT PENEDES;08305;VILAFRANCA DEL PENEDÈS;0;Home;Positiu per ELISA;1
22/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;6
16/04/2020;11;BAIX LLOBREGAT;08301;VILADECANS;1;Dona;Positiu per ELISA;1
28/05/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;15
05/11/2020;17;GARRAF;08307;VILANOVA I LA GELTRÚ;0;Home;PCR probable;3
31/03/2020;21;MARESME;08230;PREMIÀ DE DALT;0;Home;Positiu per ELISA;2
10/09/2020;07;BAGES;08218;SANT JOAN DE VILATORRADA;1;Dona;Positiu per ELISA;1
07/05/2020;11;BAIX LLOBREGAT;08056;CASTELLDEFELS;0;Home;Positiu per ELISA;1
20/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu Epidemiològic;18
21/04/2020;24;OSONA;08117;LES MASIES DE VOLTREGÀ;0;Home;Positiu per Test Ràpid;1
15/07/2020;06;ANOIA;08250;SANTA MARGARIDA DE MONTBUI;1;Dona;Positiu per Test Ràpid;8
06/11/2020;11;BAIX LLOBREGAT;08089;GAVÀ;1;Dona;PCR probable;1
10/07/2020;11;BAIX LLOBREGAT;08301;VILADECANS;0;Home;PCR probable;1
21/10/2020;40;VALLES OCCIDENTAL;08184;RUBÍ;1;Dona;PCR probable;1
23/10/2020;21;MARESME;08118;EL MASNOU;0;Home;Positiu per ELISA;1
13/11/2020;11;BAIX LLOBREGAT;08001;ABRERA;1;Dona;PCR probable;2
28/07/2020;41;VALLES ORIENTAL;08159;PARETS DEL VALLÈS;1;Dona;Positiu per Test Ràpid;4
09/10/2020;11;BAIX LLOBREGAT;08077;ESPLUGUES DE LLOBREGAT;1;Dona;Positiu per ELISA;1
14/09/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;14
22/07/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;37
03/05/2020;13;BARCELONES;08194;SANT ADRIÀ DE BESÒS;1;Dona;Positiu Epidemiològic;1
04/05/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu Epidemiològic;9
10/11/2020;40;VALLES OCCIDENTAL;08184;RUBÍ;1;Dona;Positiu Epidemiològic;1
04/05/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;2
13/10/2020;06;ANOIA;08302;VILANOVA DEL CAMÍ;0;Home;Positiu per Test Ràpid;17
03/06/2020;07;BAGES;08218;SANT JOAN DE VILATORRADA;0;Home;PCR probable;1
27/05/2020;40;VALLES OCCIDENTAL;08184;RUBÍ;1;Dona;Positiu per Test Ràpid;1
21/08/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;2
28/08/2020;40;VALLES OCCIDENTAL;08205;SANT CUGAT DEL VALLÈS;0;Home;Positiu Epidemiològic;4
19/04/2020;13;BARCELONES;08015;BADALONA;1;Dona;Positiu Epidemiològic;3
18/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;10
17/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu Epidemiològic;20
24/07/2020;11;BAIX LLOBREGAT;08056;CASTELLDEFELS;1;Dona;Positiu per ELISA;1
03/09/2020;11;BAIX LLOBREGAT;08196;SANT ANDREU DE LA BARCA;1;Dona;Positiu per ELISA;1
18/08/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;Positiu per ELISA;1
27/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;7
09/10/2020;11;BAIX LLOBREGAT;08301;VILADECANS;1;Dona;PCR probable;2
21/07/2020;07;BAGES;08140;NAVARCLES;0;Home;Positiu per Test Ràpid;3
27/04/2020;34;SELVA;17193;SILS;0;Home;Positiu per Test Ràpid;1
27/04/2020;34;SELVA;17023;BLANES;1;Dona;Positiu per Test Ràpid;2
12/04/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu per ELISA;1
20/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;51
21/07/2020;34;SELVA;17164;SANT HILARI SACALM;1;Dona;Positiu per Test Ràpid;1
20/08/2020;40;VALLES OCCIDENTAL;08180;RIPOLLET;1;Dona;Positiu per Test Ràpid;3
30/04/2020;13;BARCELONES;08194;SANT ADRIÀ DE BESÒS;0;Home;Positiu per Test Ràpid;1
07/10/2020;11;BAIX LLOBREGAT;08295;VALLIRANA;1;Dona;PCR probable;1
17/06/2020;11;BAIX LLOBREGAT;08076;ESPARREGUERA;0;Home;Positiu per ELISA;1
22/07/2020;41;VALLES ORIENTAL;08136;MONTORNÈS DEL VALLÈS;0;Home;Positiu per Test Ràpid;1
07/05/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;5
09/04/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu per ELISA;4
11/05/2020;11;BAIX LLOBREGAT;08244;SANTA COLOMA DE CERVELLÓ;1;Dona;Positiu per ELISA;1
20/08/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;1;Dona;Positiu per ELISA;2
18/08/2020;11;BAIX LLOBREGAT;08221;SANT JUST DESVERN;0;Home;Positiu per Test Ràpid;1
10/07/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;0;Home;Positiu per Test Ràpid;4
30/05/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;Positiu per ELISA;2
13/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;10
20/04/2020;20;GIRONES;17079;GIRONA;1;Dona;Positiu per Test Ràpid;5
22/05/2020;23;NOGUERA;25177;PREIXENS;1;Dona;PCR probable;1
21/05/2020;20;GIRONES;17079;GIRONA;0;Home;Positiu per ELISA;1
11/05/2020;02;ALT EMPORDA;17066;FIGUERES;0;Home;Positiu per Test Ràpid;1
24/05/2020;38;URGELL;25217;TÀRREGA;1;Dona;PCR probable;7
25/04/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;1;Dona;Positiu Epidemiològic;2
06/10/2020;07;BAGES;08140;NAVARCLES;0;Home;Positiu per ELISA;1
22/10/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;0;Home;PCR probable;1
30/06/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;26
28/08/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;2
28/08/2020;40;VALLES OCCIDENTAL;08252;BARBERÀ DEL VALLÈS;0;Home;Positiu per Test Ràpid;1
29/07/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;15
29/07/2020;14;BERGUEDA;08022;BERGA;1;Dona;PCR probable;1
23/05/2020;38;URGELL;25217;TÀRREGA;1;Dona;PCR probable;1
30/05/2020;11;BAIX LLOBREGAT;08289;TORRELLES DE LLOBREGAT;0;Home;Positiu per Test Ràpid;1
17/08/2020;41;VALLES ORIENTAL;08041;CANOVELLES;0;Home;Positiu per Test Ràpid;1
12/06/2020;15;CERDANYA;17141;PUIGCERDÀ;1;Dona;Positiu per Test Ràpid;1
11/06/2020;41;VALLES ORIENTAL;08136;MONTORNÈS DEL VALLÈS;0;Home;Positiu per ELISA;1
08/04/2020;24;OSONA;08067;CENTELLES;1;Dona;Positiu per ELISA;1
19/08/2020;20;GIRONES;17079;GIRONA;1;Dona;Positiu per Test Ràpid;3
28/08/2020;11;BAIX LLOBREGAT;08301;VILADECANS;1;Dona;PCR probable;2
10/11/2020;11;BAIX LLOBREGAT;08196;SANT ANDREU DE LA BARCA;1;Dona;PCR probable;1
14/10/2020;21;MARESME;08126;MONTGAT;0;Home;Positiu per ELISA;1
04/06/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;4
06/09/2020;31;RIPOLLES;17167;SANT JOAN DE LES ABADESSES;1;Dona;PCR probable;1
30/04/2020;21;MARESME;08030;CABRILS;1;Dona;Positiu Epidemiològic;1
29/05/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;2
25/08/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;PCR probable;8
02/04/2020;21;MARESME;08281;TEIÀ;0;Home;Positiu per ELISA;1
08/06/2020;21;MARESME;08172;PREMIÀ DE MAR;1;Dona;Positiu per ELISA;1
08/06/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;3
23/04/2020;20;GIRONES;17079;GIRONA;0;Home;Positiu per Test Ràpid;14
04/05/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;0;Home;PCR probable;1
12/11/2020;41;VALLES ORIENTAL;08248;SANTA EULÀLIA DE RONÇANA;1;Dona;PCR probable;1
10/11/2020;07;BAGES;08218;SANT JOAN DE VILATORRADA;1;Dona;PCR probable;1
11/11/2020;17;GARRAF;08231;SANT PERE DE RIBES;1;Dona;PCR probable;1
30/10/2020;10;BAIX EMPORDA;17118;PALAMÓS;0;Home;PCR probable;1
19/05/2020;02;ALT EMPORDA;17032;CADAQUÉS;0;Home;Positiu per Test Ràpid;1
19/05/2020;02;ALT EMPORDA;17032;CADAQUÉS;1;Dona;Positiu per Test Ràpid;1
31/08/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;0;Home;PCR probable;1
07/07/2020;33;SEGRIA;25011;ALCARRÀS;1;Dona;Positiu Epidemiològic;1
24/08/2020;SES;;SES;;SES;;Positiu Epidemiològic;3
21/10/2020;11;BAIX LLOBREGAT;08114;MARTORELL;0;Home;Positiu per ELISA;1
22/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;Positiu Epidemiològic;1
30/09/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;1;Dona;PCR probable;3
12/11/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;0;Home;Positiu per Test Ràpid;1
14/09/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;0;Home;Positiu per Test Ràpid;1
28/09/2020;20;GIRONES;17073;FORNELLS DE LA SELVA;0;Home;Positiu Epidemiològic;1
22/07/2020;40;VALLES OCCIDENTAL;08180;RIPOLLET;1;Dona;Positiu per Test Ràpid;3
17/04/2020;34;SELVA;17180;SANTA COLOMA DE FARNERS;1;Dona;Positiu Epidemiològic;1
27/10/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;4
06/05/2020;11;BAIX LLOBREGAT;08077;ESPLUGUES DE LLOBREGAT;1;Dona;Positiu Epidemiològic;2
31/05/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu per ELISA;1
23/04/2020;34;SELVA;17233;VILOBÍ D'ONYAR;0;Home;Positiu per Test Ràpid;2
02/06/2020;26;PALLARS SOBIRA;25082;ESPOT;0;Home;Positiu per Test Ràpid;2
13/05/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;5
16/07/2020;11;BAIX LLOBREGAT;08089;GAVÀ;1;Dona;Positiu per Test Ràpid;9
12/11/2020;41;VALLES ORIENTAL;08124;MOLLET DEL VALLÈS;1;Dona;Positiu Epidemiològic;1
24/09/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;1;Dona;Positiu per Test Ràpid;1
09/07/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;2
27/07/2020;24;OSONA;08283;TONA;1;Dona;Positiu per ELISA;1
23/07/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;PCR probable;2
27/07/2020;06;ANOIA;08302;VILANOVA DEL CAMÍ;1;Dona;Positiu per Test Ràpid;5
29/08/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;2
26/05/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;Positiu per ELISA;1
26/05/2020;20;GIRONES;17049;CELRÀ;1;Dona;Positiu per Test Ràpid;1
12/06/2020;13;BARCELONES;08019;BARCELONA;0;Home;PCR probable;1
15/06/2020;39;VALL D'ARAN;25025;NAUT ARAN;0;Home;Positiu per ELISA;2
13/08/2020;07;BAGES;08192;SANTPEDOR;1;Dona;Positiu per ELISA;2
13/08/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;PCR probable;2
09/05/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;1;Dona;Positiu per ELISA;1
10/08/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per Test Ràpid;5
01/09/2020;21;MARESME;08219;VILASSAR DE MAR;0;Home;Positiu Epidemiològic;1
16/07/2020;07;BAGES;08139;MURA;1;Dona;Positiu per Test Ràpid;1
25/05/2020;41;VALLES ORIENTAL;08181;LA ROCA DEL VALLÈS;0;Home;PCR probable;5
21/05/2020;20;GIRONES;17155;SALT;1;Dona;Positiu per Test Ràpid;2
18/05/2020;21;MARESME;08110;MALGRAT DE MAR;0;Home;Positiu per Test Ràpid;1
30/04/2020;10;BAIX EMPORDA;17160;SANT FELIU DE GUÍXOLS;0;Home;Positiu per Test Ràpid;3
09/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;4
20/07/2020;28;PLA DE L'ESTANY;17056;CORNELLÀ DEL TERRI;0;Home;Positiu per Test Ràpid;1
20/03/2020;24;OSONA;08298;VIC;0;Home;Positiu Epidemiològic;1
15/07/2020;06;ANOIA;08250;SANTA MARGARIDA DE MONTBUI;0;Home;Positiu per Test Ràpid;3
26/03/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;Positiu per ELISA;1
14/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;PCR probable;4
17/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;3
27/07/2020;06;ANOIA;08286;LA TORRE DE CLARAMUNT;0;Home;Positiu per Test Ràpid;1
17/07/2020;41;VALLES ORIENTAL;08088;LA GARRIGA;1;Dona;Positiu per Test Ràpid;7
17/07/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu per Test Ràpid;9
14/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu Epidemiològic;1
24/03/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu Epidemiològic;1
14/07/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;1;Dona;Positiu per ELISA;1
27/05/2020;11;BAIX LLOBREGAT;08147;OLESA DE MONTSERRAT;1;Dona;Positiu per ELISA;5
18/05/2020;13;BARCELONES;08194;SANT ADRIÀ DE BESÒS;1;Dona;Positiu per Test Ràpid;1
03/08/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;0;Home;Positiu per Test Ràpid;1
07/08/2020;17;GARRAF;08307;VILANOVA I LA GELTRÚ;0;Home;PCR probable;1
04/11/2020;03;ALT PENEDES;08251;SANTA MARGARIDA I ELS MONJOS;1;Dona;PCR probable;1
09/11/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu per ELISA;1
14/03/2020;07;BAGES;08113;MANRESA;0;Home;Positiu Epidemiològic;1
24/03/2020;09;BAIX EBRE;43901;DELTEBRE;1;Dona;Positiu Epidemiològic;1
22/04/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;12
06/10/2020;40;VALLES OCCIDENTAL;08187;SABADELL;0;Home;Positiu Epidemiològic;1
26/10/2020;33;SEGRIA;25007;ALBATÀRREC;1;Dona;Positiu per Test Ràpid;2
05/09/2020;12;BAIX PENEDES;43037;CALAFELL;1;Dona;Positiu per ELISA;1
13/10/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;5
01/09/2020;11;BAIX LLOBREGAT;08056;CASTELLDEFELS;1;Dona;Positiu per ELISA;1
21/08/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;PCR probable;1
30/04/2020;21;MARESME;08110;MALGRAT DE MAR;1;Dona;Positiu per Test Ràpid;1
07/04/2020;02;ALT EMPORDA;17066;FIGUERES;1;Dona;Positiu Epidemiològic;1
07/05/2020;30;RIBERA D'EBRE;43099;LA PALMA D'EBRE;0;Home;Positiu per Test Ràpid;2
21/09/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per Test Ràpid;5
28/07/2020;11;BAIX LLOBREGAT;08217;SANT JOAN DESPÍ;0;Home;PCR probable;1
23/04/2020;07;BAGES;08262;SANT VICENÇ DE CASTELLET;1;Dona;Positiu per ELISA;3
26/03/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;1
07/04/2020;11;BAIX LLOBREGAT;08089;GAVÀ;0;Home;Positiu Epidemiològic;1
21/03/2020;40;VALLES OCCIDENTAL;08904;BADIA DEL VALLÈS;1;Dona;Positiu Epidemiològic;1
03/07/2020;13;BARCELONES;08194;SANT ADRIÀ DE BESÒS;0;Home;Positiu per Test Ràpid;1
28/04/2020;21;MARESME;08121;MATARÓ;1;Dona;Positiu per Test Ràpid;2
29/04/2020;11;BAIX LLOBREGAT;08301;VILADECANS;0;Home;Positiu Epidemiològic;1
01/05/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;1;Dona;Positiu Epidemiològic;1
22/03/2020;38;URGELL;25027;ANGLESOLA;0;Home;Positiu Epidemiològic;1
28/03/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;1;Dona;Positiu per ELISA;1
30/05/2020;21;MARESME;08118;EL MASNOU;0;Home;PCR probable;1
22/05/2020;07;BAGES;08213;SANT FRUITÓS DE BAGES;1;Dona;Positiu per Test Ràpid;1
29/10/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;1;Dona;Positiu per ELISA;3
28/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;7
29/10/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;2
01/07/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;0;Home;Positiu per ELISA;2
21/09/2020;SES;;SES;;SES;;Positiu Epidemiològic;3
22/09/2020;24;OSONA;08233;SANT PERE DE TORELLÓ;0;Home;Positiu per Test Ràpid;1
19/09/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;4
01/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu per Test Ràpid;1
22/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;3
20/10/2020;17;GARRAF;08231;SANT PERE DE RIBES;0;Home;PCR probable;1
24/08/2020;40;VALLES OCCIDENTAL;08266;CERDANYOLA DEL VALLÈS;1;Dona;PCR probable;1
01/11/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;PCR probable;1
09/10/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;4
05/04/2020;17;GARRAF;08270;SITGES;0;Home;Positiu per ELISA;1
14/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;Positiu Epidemiològic;2
14/10/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;9
18/06/2020;SES;;SES;;SES;;Positiu Epidemiològic;1
03/11/2020;20;GIRONES;17044;CASSÀ DE LA SELVA;1;Dona;PCR probable;2
01/04/2020;36;TARRAGONES;43905;SALOU;0;Home;PCR probable;1
22/07/2020;41;VALLES ORIENTAL;08046;CARDEDEU;1;Dona;Positiu per Test Ràpid;1
24/07/2020;41;VALLES ORIENTAL;08136;MONTORNÈS DEL VALLÈS;0;Home;Positiu per Test Ràpid;2
13/08/2020;07;BAGES;08010;ARTÉS;0;Home;Positiu per ELISA;1
13/11/2020;03;ALT PENEDES;08305;VILAFRANCA DEL PENEDÈS;1;Dona;PCR probable;1
13/10/2020;40;VALLES OCCIDENTAL;08205;SANT CUGAT DEL VALLÈS;0;Home;Positiu per Test Ràpid;1
06/08/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;1;Dona;Positiu per Test Ràpid;2
09/06/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;0;Home;Positiu per ELISA;1
19/05/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;0;Home;Positiu per ELISA;2
26/10/2020;34;SELVA;17023;BLANES;1;Dona;Positiu per ELISA;1
13/07/2020;06;ANOIA;08250;SANTA MARGARIDA DE MONTBUI;1;Dona;Positiu per Test Ràpid;14
27/05/2020;11;BAIX LLOBREGAT;08905;LA PALMA DE CERVELLÓ;1;Dona;Positiu per ELISA;1
29/10/2020;11;BAIX LLOBREGAT;08301;VILADECANS;1;Dona;Positiu per ELISA;1
30/07/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;4
01/09/2020;40;VALLES OCCIDENTAL;08187;SABADELL;0;Home;Positiu Epidemiològic;2
01/09/2020;40;VALLES OCCIDENTAL;08205;SANT CUGAT DEL VALLÈS;1;Dona;Positiu Epidemiològic;1
06/06/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu per ELISA;28
06/06/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu per ELISA;14
05/06/2020;21;MARESME;08155;PALAFOLLS;1;Dona;Positiu per Test Ràpid;1
28/04/2020;41;VALLES ORIENTAL;08124;MOLLET DEL VALLÈS;1;Dona;Positiu per ELISA;1
01/05/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;Positiu per ELISA;4
15/09/2020;13;BARCELONES;08019;BARCELONA;0;Home;PCR probable;1
03/10/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;Positiu per Test Ràpid;6
17/08/2020;40;VALLES OCCIDENTAL;08156;PALAU-SOLITÀ I PLEGAMANS;1;Dona;Positiu Epidemiològic;1
