TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
22/04/2020;06;ANOIA;08161;PIERA;1;Dona;Positiu PCR;1
31/07/2020;41;VALLES ORIENTAL;08108;LLIÇÀ DE VALL;0;Home;Positiu per Test Ràpid;1
16/07/2020;28;PLA DE L'ESTANY;17190;SERINYÀ;1;Dona;Positiu per Test Ràpid;1
16/07/2020;14;BERGUEDA;08022;BERGA;1;Dona;Positiu per ELISA;1
15/04/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;1;Dona;Positiu Epidemiològic;1
06/07/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;Positiu per Test Ràpid;1
09/10/2020;20;GIRONES;17079;GIRONA;0;Home;PCR probable;1
16/10/2020;39;VALL D'ARAN;25243;VIELHA E MIJARAN;0;Home;Positiu per ELISA;1
03/07/2020;11;BAIX LLOBREGAT;08068;CERVELLÓ;0;Home;Positiu per Test Ràpid;1
24/07/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;1;Dona;Positiu per ELISA;1
24/07/2020;40;VALLES OCCIDENTAL;08267;SENTMENAT;0;Home;Positiu per Test Ràpid;1
31/08/2020;36;TARRAGONES;43148;TARRAGONA;1;Dona;Positiu PCR;10
02/09/2020;20;GIRONES;17020;BESCANÓ;0;Home;Positiu PCR;1
31/03/2020;24;OSONA;08285;TORELLÓ;0;Home;Positiu PCR;2
13/05/2020;40;VALLES OCCIDENTAL;08266;CERDANYOLA DEL VALLÈS;1;Dona;Positiu PCR;4
09/10/2020;11;BAIX LLOBREGAT;08301;VILADECANS;1;Dona;Positiu PCR;10
07/07/2020;13;BARCELONES;08019;BARCELONA;1;Dona;PCR probable;1
17/09/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;Positiu per ELISA;1
11/04/2020;06;ANOIA;08102;IGUALADA;1;Dona;Positiu Epidemiològic;1
06/08/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;1;Dona;Positiu per ELISA;1
02/09/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;Positiu per Test Ràpid;1
14/05/2020;11;BAIX LLOBREGAT;08200;SANT BOI DE LLOBREGAT;1;Dona;Positiu per Test Ràpid;1
18/05/2020;11;BAIX LLOBREGAT;08114;MARTORELL;0;Home;PCR probable;1
31/03/2020;40;VALLES OCCIDENTAL;08300;VILADECAVALLS;0;Home;Positiu per ELISA;1
26/05/2020;10;BAIX EMPORDA;17013;BEGUR;0;Home;PCR probable;1
20/10/2020;11;BAIX LLOBREGAT;08114;MARTORELL;1;Dona;Positiu per ELISA;1
03/11/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;91
07/11/2020;17;GARRAF;08231;SANT PERE DE RIBES;1;Dona;Positiu PCR;2
27/10/2020;20;GIRONES;17155;SALT;1;Dona;Positiu PCR;26
04/11/2020;17;GARRAF;08231;SANT PERE DE RIBES;1;Dona;Positiu PCR;5
16/10/2020;40;VALLES OCCIDENTAL;08904;BADIA DEL VALLÈS;0;Home;Positiu PCR;3
27/10/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;89
31/08/2020;36;TARRAGONES;43905;SALOU;0;Home;Positiu PCR;3
26/10/2020;24;OSONA;08283;TONA;0;Home;Positiu PCR;4
23/09/2020;20;GIRONES;17044;CASSÀ DE LA SELVA;0;Home;Positiu PCR;1
07/11/2020;21;MARESME;08121;MATARÓ;0;Home;Positiu PCR;18
19/10/2020;21;MARESME;08007;ARENYS DE MUNT;0;Home;Positiu PCR;1
18/10/2020;03;ALT PENEDES;08287;TORRELAVIT;1;Dona;Positiu PCR;1
